Pixel dist,Real dist
72.54309064273454,5.0
104.50119616540282,10.0
125.52489792865796,15.0
145.5077317533333,20.0
158.50709763288205,25.0
167.50671628325833,30.0
176.5177044944784,35.0
186.5060320740324,40.0
193.51614919690812,45.0
200.51558542916308,50.0
